"name","phone","username","link","Result"
"igor17","","Agedsfnt"," link10","Error: Phone is required. "
"igor18"," 0987654321","Agent"," link11","OK"
"igor100"," 0987654321","Agent"," linwrk102","OK"
"igor19"," 0987654321"," Agent"," linwrk103","OK"
"igor19"," 0987654321"," Agent"," linwerk104","OK"
"igor18"," 0987654321"," Agent"," linkwer105","OK"
"igor17",""," Agecvxcnt"," linkwre150","Error: Phone is required. "
"igor16"," 0987654321"," Agent"," linwerk106","OK"
"igor15"," 0987654321"," Agent"," linwerk107","OK"
"igor14"," 0987654321"," Agexccxnt"," liwrenk108","Error: No user found. "
"igor13"," 0987654321"," Agent"," linkwer109","OK"
"igor12"," 0987654321"," Agent"," linkwr1099","OK"
"igor12"," 0987654321"," Agexcvcnt"," linwrek1099","Error: No user found. "
"igor12"," 0987654321"," Agent"," linkwre1099","OK"
"igor12"," 0987654321"," Agent"," linkwer1099","OK"
"igor12"," 0987654321"," Agecxvnt"," linkwer1099","Error: No user found. "
"igor12"," 0987654321"," Agecxdfvnt"," lidfnkwer1099","Error: No user found. "
"gor12"," 0987654321"," Agent"," link1cvewr099","OK"
